feature,departamento,mean,std
t2m_sep,Arrecifes,13.504490196078432,0.8776397957089697
t2m_sep,Baradero,13.445181818181817,0.8456988484667458
t2m_sep,Belgrano,14.773950980392156,1.0661723132611658
t2m_sep,Capitan Sarmiento,13.504490196078432,0.8776397957089697
t2m_sep,Carmen De Areco,13.017208333333333,0.8566948062404875
t2m_sep,Caseros,14.409875,0.9970500889766353
t2m_sep,Chacabuco,13.140529411764707,0.8353197864131922
t2m_sep,Colon,13.413114583333334,0.8895533074558014
t2m_sep,General Arenales,13.120181818181818,0.8615460670395478
t2m_sep,General Lopez,13.60021568627451,0.8987170424778241
t2m_sep,General San Martin,14.017464646464646,1.0320402458351947
t2m_sep,Iriondo,14.324823529411765,0.9432389082030647
t2m_sep,Juarez Celman,13.890559139784946,1.0184477491173511
t2m_sep,Junin,13.196771428571429,0.8887569007166293
t2m_sep,Leandro N. Alem,13.41390625,0.8902320877944633
t2m_sep,Marcos Juarez,14.365676470588236,0.9871409639606967
t2m_sep,Pergamino,13.50461616161616,0.8864225545901883
t2m_sep,Ramallo,14.037274509803922,0.8813890340999091
t2m_sep,Rojas,13.525050505050505,0.8792137353956757
t2m_sep,Rosario,14.823580645161291,0.9478274923827684
t2m_sep,Salto,12.989272727272727,0.8380252932014968
t2m_sep,San Lorenzo,15.212878787878788,0.9932017279226233
t2m_sep,San Nicolas,14.062552380952381,0.8811141674590788
t2m_sep,San Pedro,14.044892156862746,0.872592043018566
t2m_sep,Union,13.82570707070707,0.9577911573481329
t2m_sep,Villa Constitucion,14.023539215686274,0.8929624928108925
t2m_oct,Arrecifes,17.16662239089184,0.9317727962589532
t2m_oct,Baradero,17.150576735092866,0.8854224696584776
t2m_oct,Belgrano,18.690332068311196,1.0754332596211802
t2m_oct,Capitan Sarmiento,17.16662239089184,0.9317727962589532
t2m_oct,Carmen De Areco,16.610937500000002,0.9475999846920564
t2m_oct,Caseros,18.281310483870968,0.9790730591573185
t2m_oct,Chacabuco,16.669193548387096,0.9720221352938819
t2m_oct,Colon,17.202691532258065,1.0035829859909782
t2m_oct,General Arenales,16.82103616813294,0.9893321619532954
t2m_oct,General Lopez,17.375142314990512,1.043517944446889
t2m_oct,General San Martin,18.228856304985335,1.0789271131413716
t2m_oct,Iriondo,18.217628083491462,0.9833243642357996
t2m_oct,Juarez Celman,17.8176482830385,1.1473976503264536
t2m_oct,Junin,16.789502304147465,0.9756261766540237
t2m_oct,Leandro N. Alem,17.140574596774194,0.9907652843339675
t2m_oct,Marcos Juarez,18.334639468690703,1.0303575521942703
t2m_oct,Pergamino,17.226647116324536,0.9751019115452927
t2m_oct,Ramallo,17.832457305502846,0.9056205755386041
t2m_oct,Rojas,17.179120234604106,0.9854422384187073
t2m_oct,Rosario,18.63636836628512,0.9482607807319203
t2m_oct,Salto,16.588934506353862,0.9385424813856641
t2m_oct,San Lorenzo,19.07030303030303,0.9554655198632045
t2m_oct,San Nicolas,17.80511520737327,0.9067481844243689
t2m_oct,San Pedro,17.823292220113853,0.875577845799672
t2m_oct,Union,17.93941348973607,1.0868791464421288
t2m_oct,Villa Constitucion,17.819307400379508,0.9532686827034101
t2m_nov,Arrecifes,20.10763725490196,1.0905264764056548
t2m_nov,Baradero,19.99828282828283,1.0699204738139163
t2m_nov,Belgrano,21.482931372549018,1.005317028842587
t2m_nov,Capitan Sarmiento,20.10763725490196,1.0905264764056548
t2m_nov,Carmen De Areco,19.514114583333335,1.080917609681816
t2m_nov,Caseros,21.121614583333333,1.0343527476247252
t2m_nov,Chacabuco,19.78205882352941,1.1292957683715423
t2m_nov,Colon,20.139229166666667,1.1054421403749928
t2m_nov,General Arenales,19.956898989898992,1.3855442760399268
t2m_nov,General Lopez,20.429392156862747,1.3714146803177978
t2m_nov,General San Martin,20.94951515151515,1.1688818407246133
t2m_nov,Iriondo,21.10549019607843,1.0218450080318888
