feature,departamento,mean,std
t2m_sep,12 De Octubre,19.010638095238097,1.7104271365234311
t2m_sep,1° De Mayo,19.951114942528733,1.6278708907987818
t2m_sep,2 De Abril,19.477650793650792,1.59965554096357
t2m_sep,25 De Mayo,12.208534408602151,0.7981179430758398
t2m_sep,9 De Julio,12.359551839464883,0.8173413387935408
t2m_sep,Adolfo Alsina,12.756523809523808,0.7376565361102052
t2m_sep,Adolfo Gonzales Chaves,10.108676470588236,0.7901086081644623
t2m_sep,Aguirre,22.348041666666667,1.6418008247131173
t2m_sep,Alberdi,19.676392857142854,1.4419977627465375
t2m_sep,Alberti,13.76168686868687,0.7730361270637942
t2m_sep,Almirante Brown,21.88389523809524,1.7643922499200586
t2m_sep,Anta,22.283161616161618,1.516774135664084
t2m_sep,Apostoles,17.889440860215053,1.5367406764223723
t2m_sep,Arrecifes,13.504490196078432,0.8776397957089697
t2m_sep,Atreuco,11.352242424242425,0.8361011006481518
t2m_sep,Avellaneda,19.81248888888889,1.1083812368213233
t2m_sep,Ayacucho,10.655104938271606,0.7628163135652134
t2m_sep,Azul,10.341833333333332,0.8178740785827052
t2m_sep,Balcarce,9.86727619047619,0.7522679369255589
t2m_sep,Banda,19.73183333333333,1.5298202661315043
t2m_sep,Baradero,13.445181818181817,0.8456988484667457
t2m_sep,Belgrano,14.731447028423771,1.0303678731338273
t2m_sep,Bella Vista,17.997283950617284,1.5241697914022274
t2m_sep,Benito Juarez,10.02131313131313,0.7951368633911831
t2m_sep,Bermejo,19.173377777777777,1.6679297253894736
t2m_sep,Beron De Astrada,18.52972549019608,1.883826116339114
t2m_sep,Bolivar,13.873735294117647,0.8108034165768784
t2m_sep,Bragado,12.741166666666667,0.8619291816277106
t2m_sep,Brandsen,12.873857142857142,0.8157611617476486
t2m_sep,Burruyacu,17.73316091954023,1.5727878938033446
t2m_sep,Cachi,6.733960784313726,0.8052959935669006
t2m_sep,Cainguas,18.2868064516129,1.672896228377587
t2m_sep,Calamuchita,14.436010752688173,1.0836517907447158
t2m_sep,Campana,13.579696078431374,0.8155078290922504
t2m_sep,Candelaria,18.13129292929293,1.551646269015536
t2m_sep,Canuelas,12.512885416666666,0.7854639366426247
t2m_sep,Capayan,20.04118181818182,1.585765436083792
t2m_sep,Capital,12.092895921237695,0.7568598143312796
t2m_sep,Capitan Sarmiento,13.504490196078432,0.8776397957089697
t2m_sep,Carlos Casares,12.461885714285714,0.8439613911144732
t2m_sep,Carlos Tejedor,12.776294117647058,0.7956138039368441
t2m_sep,Carmen De Areco,13.017208333333333,0.8566948062404875
t2m_sep,Caseros,14.409875,0.9970500889766352
t2m_sep,Castellanos,16.284757575757578,1.2876799557967062
t2m_sep,Castelli,11.854190476190476,0.6790657378908299
