feature,departamento,mean,std
t2m_sep,12 De Octubre,18.918916666666668,1.6857273129058281
t2m_sep,2 De Abril,19.393683333333335,1.608046370090917
t2m_sep,25 De Mayo,12.158617852161784,0.8114085653266033
t2m_sep,9 De Julio,12.345249122807019,0.8014397739028662
t2m_sep,Adolfo Alsina,12.81236111111111,0.7680402686495751
t2m_sep,Adolfo Gonzales Chaves,10.110785714285713,0.7806103932986088
t2m_sep,Aguirre,22.53651515151515,1.6190963144361965
t2m_sep,Alberdi,19.399696969696972,1.4790559262247083
t2m_sep,Alberti,13.855294117647059,0.8316798697954255
t2m_sep,Almirante Brown,21.855321428571425,1.8137836983443694
t2m_sep,Anta,22.28705747126437,1.7265345212095526
t2m_sep,Arrecifes,13.565333333333333,0.8623552603086961
t2m_sep,Atreuco,11.404919540229885,0.8383160116319567
t2m_sep,Ayacucho,10.513871794871793,0.6721124184739246
t2m_sep,Azul,10.195311111111112,0.7337660005413493
t2m_sep,Balcarce,9.748044444444444,0.7064579920337096
t2m_sep,Banda,19.581972222222223,1.5409826556741542
t2m_sep,Baradero,13.522353535353535,0.8222040836280736
t2m_sep,Belgrano,14.744844036697248,1.0406145032528915
t2m_sep,Bella Vista,18.034470588235294,1.5614643147931841
t2m_sep,Benito Juarez,9.937474747474747,0.7690169953254131
t2m_sep,Bermejo,19.22082456140351,1.713127943332728
t2m_sep,Bolivar,13.932731182795699,0.906897149705174
t2m_sep,Bragado,12.708030303030304,0.8666783026608146
t2m_sep,Brandsen,12.723666666666666,0.711955158804365
t2m_sep,Burruyacu,17.519950617283953,1.4531390857711306
t2m_sep,Cainguas,18.322893333333333,1.5263538214149914
t2m_sep,Calamuchita,14.154892156862745,1.1169717229045109
t2m_sep,Campana,13.573172043010752,0.8136224252662028
t2m_sep,Canuelas,12.56728888888889,0.766570797270942
t2m_sep,Capital,12.10930965391621,0.7932142530162518
t2m_sep,Capitan Sarmiento,13.439118279569891,0.830754122150191
t2m_sep,Carlos Casares,12.507090909090909,0.8083642187945186
t2m_sep,Carlos Tejedor,12.762990196078432,0.799730200655424
t2m_sep,Carmen De Areco,12.983813725490196,0.8234586139141852
t2m_sep,Caseros,14.381838383838383,0.994476087365479
t2m_sep,Castellanos,16.252232323232324,1.2736152869686894
t2m_sep,Castelli,11.871196078431371,0.7676556760215512
t2m_sep,Catrilo,12.390913580246913,0.821233544723682
t2m_sep,Chacabuco,13.108038666666667,0.8401713987699306
t2m_sep,Chapaleufu,13.063828571428571,0.8511081410649969
t2m_sep,Chascomus,11.944020833333333,0.6347346124372032
t2m_sep,Chicligasta,19.812102564102563,1.390556572454562
t2m_sep,Chivilcoy,12.56530303030303,0.8440742190396973
t2m_sep,Choya,18.46033333333333,1.551317745025739
t2m_sep,Colon,13.505305764411029,0.8953132523213084
t2m_sep,Comandante Fernandez,20.008854166666666,1.6667679473258938
t2m_sep,Concordia,15.107931034482759,1.114639493927565
t2m_sep,Conhelo,12.218952380952382,0.7698362378060607
t2m_sep,Copo,19.60705263157895,1.4701675736482853
t2m_sep,Coronel Dorrego,10.223098765432098,0.7925822927147139
t2m_sep,Coronel Pringles,9.910459119496855,0.8217113323960541
t2m_sep,Coronel Suarez,10.229222222222223,0.816135188698808
t2m_sep,Cruz Alta,20.32145679012346,1.475458914986531
t2m_sep,Curuzu Cuatia,15.871571428571428,1.1325897140259844
t2m_sep,Daireaux,11.860361904761904,0.7684044983053345
t2m_sep,Diamante,15.661450980392157,1.0231580571848
t2m_sep,Dolores,11.244607843137254,0.7486970370369943
t2m_sep,El Alto,16.10309523809524,1.5261900862491145
t2m_sep,El Carmen,19.362458333333333,1.3241947030988217
t2m_sep,Esquina,17.17801960784314,1.3612685335468662
t2m_sep,Exaltacion De La Cruz,12.523656565656566,0.8441274895682411
t2m_sep,Famailla,13.923375,1.4462724033925334
t2m_sep,Federacion,15.52114814814815,1.1413254204315113
t2m_sep,Federal,15.364809523809525,1.1307058956498715
t2m_sep,Feliciano,16.24386363636364,1.1794062924801203
t2m_sep,Figueroa,21.096051282051285,1.674688300717004
t2m_sep,Florentino Ameghino,13.149621212121213,0.8393521392767841
t2m_sep,Fray Justo Santa Maria De Oro,19.314333333333334,1.4928735155174182
t2m_sep,Garay,14.746033333333333,0.9524921670819613
t2m_sep,General Alvarado,12.754166666666666,0.7686993231591188
t2m_sep,General Alvear,11.729966666666666,0.7991596177460516
t2m_sep,General Arenales,13.161745098039216,0.8772594380274509
t2m_sep,General Belgrano,11.657269113149846,0.8116791738294922
t2m_sep,General Donovan,19.36694736842105,1.7483415643034639
t2m_sep,General Guemes,18.457449438202246,1.5348330413767577
t2m_sep,General Jose De San Martin,12.34415625,1.3661222649890257
t2m_sep,General Juan Madariaga,10.92304,0.612699327505691
t2m_sep,General La Madrid,10.22902564102564,0.7776920665837799
t2m_sep,General Las Heras,12.614679487179489,0.7732518145584584
t2m_sep,General Lopez,13.604151515151516,0.9458559728968496
t2m_sep,General Manuel Belgrano,19.7496,1.91137761653276
t2m_sep,General Obligado,18.103744444444445,1.3648540760515135
t2m_sep,General Paz,10.369666666666667,0.7521773136110333
t2m_sep,General Pinto,12.847666666666667,0.8771707794887431
t2m_sep,General Pueyrredon,10.185875,0.5921469033923362
t2m_sep,General Roca,14.754535353535355,1.0683239304688714
t2m_sep,General Rodriguez,13.117519999999999,0.7525433362690572
t2m_sep,General San Martin,14.0198125,1.0219513730461778
t2m_sep,General Taboada,20.58562365591398,1.4895005669113224
t2m_sep,General Viamonte,13.901363636363637,0.8069584284850309
t2m_sep,General Villegas,13.108656565656565,0.8621080247988414
t2m_sep,Graneros,16.623166666666666,1.428897085945038
t2m_sep,Gualeguay,14.242548387096774,0.9533378770225329
t2m_sep,Gualeguaychu,13.979255555555556,0.9807310069118151
t2m_sep,Guamini,11.653819444444444,0.7843994655389832
t2m_sep,Guarani,17.79548717948718,1.4674995642044237
t2m_sep,Guasayan,18.681928571428568,1.3307648017857838
