cultivo,campania_inicio,provincia,departamento,sup_sembrada_ha,sup_cosechada_ha,produccion_tn,rinde_kgha,lat_centroide,lon_centroide,campania,oni_oct_feb_mean,oni_oct_feb_min,oni_categoria,tmean,tmax_p95,precip_total,gdd,dias_t_mayor_35,rad_solar_mean,precip_siembra,precip_vegetativo,precip_r1_r5,precip_llenado,allsky_sfc_sw_dwn_dic,allsky_sfc_sw_dwn_ene,allsky_sfc_sw_dwn_feb,allsky_sfc_sw_dwn_mar,allsky_sfc_sw_dwn_nov,allsky_sfc_sw_dwn_oct,prectotcorr_dic,prectotcorr_ene,prectotcorr_feb,prectotcorr_mar,prectotcorr_nov,prectotcorr_oct,rh2m_dic,rh2m_ene,rh2m_feb,rh2m_mar,rh2m_nov,rh2m_oct,t2m_dic,t2m_ene,t2m_feb,t2m_mar,t2m_nov,t2m_oct,t2m_max_dic,t2m_max_ene,t2m_max_feb,t2m_max_mar,t2m_max_nov,t2m_max_oct,t2m_min_dic,t2m_min_ene,t2m_min_feb,t2m_min_mar,t2m_min_nov,t2m_min_oct,ws2m_dic,ws2m_ene,ws2m_feb,ws2m_mar,ws2m_nov,ws2m_oct,ndvi_mean,ndvi_min,ndvi_max,ndvi_anomalia_pct,rinde_lag1,rinde_lag2,rinde_lag3,rinde_lag4,rinde_lag5,rinde_ma5,rinde_std5,z_rinde,es_anomala_train,split,tmean_norm,tmax_p95_norm,precip_total_norm,gdd_norm,dias_t_mayor_35_norm,rad_solar_mean_norm,precip_siembra_norm,precip_vegetativo_norm,precip_r1_r5_norm,precip_llenado_norm,allsky_sfc_sw_dwn_dic_norm,allsky_sfc_sw_dwn_ene_norm,allsky_sfc_sw_dwn_feb_norm,allsky_sfc_sw_dwn_mar_norm,allsky_sfc_sw_dwn_nov_norm,allsky_sfc_sw_dwn_oct_norm,prectotcorr_dic_norm,prectotcorr_ene_norm,prectotcorr_feb_norm,prectotcorr_mar_norm,prectotcorr_nov_norm,prectotcorr_oct_norm,rh2m_dic_norm,rh2m_ene_norm,rh2m_feb_norm,rh2m_mar_norm,rh2m_nov_norm,rh2m_oct_norm,t2m_dic_norm,t2m_ene_norm,t2m_feb_norm,t2m_mar_norm,t2m_nov_norm,t2m_oct_norm,t2m_max_dic_norm,t2m_max_ene_norm,t2m_max_feb_norm,t2m_max_mar_norm,t2m_max_nov_norm,t2m_max_oct_norm,t2m_min_dic_norm,t2m_min_ene_norm,t2m_min_feb_norm,t2m_min_mar_norm,t2m_min_nov_norm,t2m_min_oct_norm,ws2m_dic_norm,ws2m_ene_norm,ws2m_feb_norm,ws2m_mar_norm,ws2m_nov_norm,ws2m_oct_norm
maiz,1981,BUENOS AIRES,Arrecifes,28000,28000.0,117600.0,4200.0,-34.07,-60.1,1981/82,-0.06799999999999999,-0.15,neutral,21.683956043956044,35.87499999999999,647.08,2126.48,14,,171.03,80.47,289.15,106.43,,,,,,,2.595806451612903,6.05741935483871,3.6203571428571424,3.4332258064516132,3.298333333333333,2.3251612903225807,53.75516129032258,54.523870967741935,67.13071428571429,65.06838709677419,64.66366666666667,64.90612903225806,23.899032258064516,24.373225806451615,22.147142857142857,22.057419354838707,20.46466666666667,17.16774193548387,31.75709677419355,32.229354838709675,28.70357142857143,29.363225806451613,27.812333333333335,24.96,15.753870967741936,16.68032258064516,15.472142857142856,15.656129032258063,13.51,10.216451612903224,2.3774193548387097,2.391290322580645,2.4353571428571428,2.148064516129032,2.7783333333333333,2.617096774193548,,,,,,,,,,,,,True,train,-0.01710104445317075,-0.17566849005496968,-0.5168515819619207,-0.04623261601507324,-0.43459304352435024,,-0.8287606058805279,-0.4972283099309239,0.3608362627436857,-0.28569591812436845,,,,,,,-0.49722830993092415,1.1391250539419855,-0.31487152631197995,-0.2856959181243683,-0.3910292872908377,-0.923475805923287,-0.9688523532454001,-0.9250137046554154,0.11011151175733874,-0.7599977801663697,-0.11819836579860633,-0.9350354106466637,0.3651262921639254,-0.578345872620734,-1.4204317122672188,0.7887337456073892,0.13095331179486466,0.044845184926084185,0.544270221003244,-0.05415721724969823,-1.0382595232155833,0.8332255799572893,0.16505481041923453,0.5860277807973863,-0.17482133758630625,-1.088437325375606,-1.6116475858474941,0.5981238839792767,0.2987851958577087,-0.22704923239492564,-0.662398052067419,0.0033453702068129807,0.6791726435011641,-0.5330486389981384,0.49851496728659306,-0.602669995742759
maiz,1982,BUENOS AIRES,Arrecifes,18000,15000.0,37500.0,2500.0,-34.07,-60.1,1982/83,2.096,1.92,nino,22.215054945054945,38.674499999999995,501.46,2223.14,31,,165.70999999999998,45.53,194.19,96.03,,,,,,,1.4687096774193549,2.9358064516129034,3.6849999999999996,3.097741935483871,2.3579999999999997,3.063548387096774,50.93064516129032,59.24548387096774,59.68321428571429,63.825161290322576,63.489000000000004,63.39387096774194,25.353548387096776,26.52741935483871,23.989285714285717,21.259677419354837,19.33833333333333,16.90096774193548,33.395161290322584,33.710967741935484,31.330000000000002,29.085806451612903,26.800333333333334,24.653870967741934,17.601612903225806,19.929032258064513,17.04,14.583225806451612,12.148333333333333,9.257741935483871,2.5425806451612907,2.5248387096774194,2.6846428571428573,2.527741935483871,2.6853333333333333,2.8280645161290323,,,,,4200.0,,,,,,,,True,train,0.9120174170727071,1.7336710380277376,-1.2712054816408975,0.8743065921389238,1.2221283163351424,,-0.8870574545831508,-0.9802366464045044,-0.5925872831188095,-0.4089188344903716,,,,,,,-0.9802366464045048,-0.6393791319170812,-0.2918646742577343,-0.40891883449037153,-0.9658889884071312,-0.5489567575398374,-1.3491381295109584,-0.17297470496987483,-0.9690549029349884,-0.9373031165561088,-0.29697120033540975,-1.193524617953017,1.3581671891119313,1.374229323214082,0.6198478243622941,0.16088527102043063,-0.678508564034722,-0.24575579210764767,1.3570245902880615,0.904943622332553,0.7493345046596974,0.6789685359418542,-0.37756970197542933,0.3522571359984278,1.2493929619597826,2.131559461168501,0.07011537768397898,-0.22967612738240406,-0.8352015565507236,-1.1425391777995662,0.10678600447084242,0.7150728817062019,1.8829749401197406,1.3658254043335503,-0.008347044660565963,0.738826513960416
maiz,1983,BUENOS AIRES,Arrecifes,19000,18700.0,74000.0,3957.0,-34.07,-60.1,1983/84,-0.748,-1.0,neutral,21.92606557377049,35.50300000000001,1059.24,2182.47,13,20.308241758241756,276.02,119.89,574.66,88.67,,24.44709677419355,19.32896551724138,17.085483870967742,,,3.86741935483871,5.761290322580645,13.657241379310346,2.8603225806451613,4.021,5.0125806451612895,62.29677419354839,68.57000000000001,78.59862068965518,81.53064516129032,68.36433333333333,70.81806451612904,24.570967741935487,25.118387096774192,23.321724137931035,19.934193548387096,20.516333333333332,18.13935483870968,31.61774193548387,31.228709677419356,28.503103448275862,25.12548387096774,27.719333333333335,25.383870967741935,17.663870967741936,19.036129032258064,18.236206896551725,14.958064516129031,13.665,11.240645161290322,2.5612903225806454,2.3051612903225807,2.326896551724138,2.228709677419355,2.7479999999999998,2.758387096774194,,,,,2500.0,4200.0,,,,,,,True,train,0.40645176914992487,-0.4293831906967769,1.6182569422221675,0.48698681564789154,-0.532047241163144,-2.967789848705112,0.32172551165487706,0.04771126144253194,3.227432267158187,-0.4961227445340045,,-1.1458938768770106,-1.731551657035323,-1.153984938966723,,,0.047711261442531974,0.970408835835276,3.2573268714685257,-0.49612274453400446,0.050762925406831624,0.4396164579834488,0.18116901150285317,1.312195707335261,1.7718475893629875,1.5878027470722302,0.44500708511728154,0.07548756339419724,0.823876389378985,0.09707322027809981,-0.11951515087897542,-0.8823130233903308,0.16808459050264055,1.1032371351384094,0.47512687962257366,-0.7019104949296734,-1.1747015983037543,-1.5231404517063984,0.11518911906280795,0.9097102120574789,1.2973806295247958,1.2465479325065931,1.3532274676512965,0.05953121272651777,0.4278681431942862,0.750972495956266,0.19392013587556653,-0.45566730025293617,0.1554157604698542,-0.12971940294637616,0.33319438274468693,0.295763446535517
maiz,1984,BUENOS AIRES,Arrecifes,20000,20000.0,75600.0,3780.0,-34.07,-60.1,1984/85,-0.9019999999999999,-1.14,nina,21.622692307692308,35.8985,580.8199999999999,2115.33,22,23.962032967032968,301.58,54.510000000000005,166.23000000000002,58.5,26.26806451612903,26.919032258064515,25.544999999999998,19.78548387096774,24.310333333333332,21.108709677419355,1.7583870967741937,2.4038709677419354,3.275357142857143,1.8870967741935485,3.0996666666666663,6.728709677419354,59.3041935483871,56.50774193548387,63.667142857142856,63.16161290322581,70.816,72.90774193548387,20.94645161290323,25.54548387096774,23.792857142857144,21.496451612903225,19.784333333333333,18.321290322580648,28.182580645161288,33.48225806451613,30.985000000000003,29.557096774193546,26.166,25.43967741935484,13.386129032258063,18.397096774193546,17.216428571428573,14.800322580645162,13.517999999999999,11.79225806451613,2.499032258064516,2.7477419354838712,2.0789285714285715,2.514516129032258,2.542666666666667,2.600322580645161,,,,,3957.0,2500.0,4200.0,,,3552.3333333333335,919.4108620923147,0.24762233736129968,True,train,-0.12427744468091323,-0.15964081407356073,-0.8600976291582472,-0.1524193754907319,0.3450405375859993,1.215480530754296,0.6018133787298837,-0.8560976978775222,-0.8733130870606308,-0.8535876855688423,0.09454336710282088,0.7793746610589841,1.4899818251047279,0.7976478950197435,0.024546369890216867,0.6363575232241496,-0.8560976978775227,-0.9424434496272809,-0.4376594770545279,-0.8535876855688422,-0.5124813900435179,1.310058282972506,-0.22174455021660555,-0.6090309316782972,-0.39177099386229436,-1.0319365044527589,0.8181268915923636,0.43267465488962226,-1.650687265113758,0.4841965445196828,0.4022918443029225,0.3472341510636294,-0.35798178396369934,1.301422081990918,-1.2292884962171302,0.7568916965185297,0.5145213647457031,0.9410261421122608,-0.7176930376430993,0.9523259355034445,-1.9998445496443191,0.6131635978681368,0.2593615972704384,-0.0621748021730188,0.3054475415266926,1.2777180567375381,-0.09602619793670825,1.9030045494503502,-1.0420231903460244,1.2996794096210618,-0.7858988049235905,-0.7093333267894935
maiz,1985,BUENOS AIRES,Arrecifes,22000,22000.0,97800.0,4445.0,-34.07,-60.1,1985/86,-0.388,-0.49,neutral,21.477417582417583,35.76099999999999,822.71,2088.89,11,23.162582417582417,412.21,91.42999999999999,268.6,50.47,25.919354838709676,26.323870967741936,25.740000000000002,19.19516129032258,23.457666666666668,18.598387096774193,2.9493548387096773,7.285483870967742,1.5267857142857142,1.6280645161290321,7.424,6.112580645161291,67.49387096774193,62.277419354838706,63.66392857142857,65.60548387096775,74.03766666666667,75.92645161290322,23.03806451612903,24.934838709677418,23.21035714285714,20.02741935483871,20.931333333333335,16.87258064516129,29.57741935483871,31.6858064516129,30.677857142857142,28.00741935483871,27.094333333333335,22.93064516129032,16.480645161290322,17.950967741935486,16.215714285714288,13.207096774193548,14.838666666666667,11.295483870967741,2.390322580645161,2.7129032258064516,2.3649999999999998,2.2277419354838712,2.466,2.4996774193548386,,,,,3780.0,3957.0,2500.0,4200.0,,3609.25,759.2774525823876,1.1007175271141276,True,train,-0.37842489060212253,-0.2534197692839165,0.3929628350180177,-0.4042200858527407,-0.7269556364407314,0.30017978907194803,1.8141029223334828,-0.34571796740801486,0.15450882100533017,-0.9487299950322082,-0.1407364023126538,0.3158329081564777,1.5910428843314348,0.3709468094528102,-0.5706158498176231,-0.829714994363153,-0.345717967408015,1.8388011349139255,-1.0599884696378779,-0.9487299950322081,2.1311396317862155,0.9975500337753077,0.8808931025734782,0.30993945490198405,-0.3922367540757999,-0.683398562447397,1.3084332042479263,0.9486605768121603,-0.2226816816560414,-0.06929624459611576,-0.24286052565495791,-0.8089413253896708,0.4663326033489967,-0.27667826608463353,-0.5372148662865365,-0.4060154612505885,0.3054744699982517,0.07933911949580831,-0.21992977446156436,-0.963657283934161,0.3853663050249607,0.1709775631356911,-0.8140552190883729,-1.2914304414139524,1.4052897723815796,0.8033390136947548,-0.6023055476503684,1.7173365029722476,0.33941755405437357,-0.13455935377899733,-1.2037420405789547,-1.3493133130699055
maiz,1986,BUENOS AIRES,Arrecifes,19000,19000.0,68400.0,3600.0,-34.07,-60.1,1986/87,1.144,0.94,nino,22.142857142857142,37.54899999999999,863.1,2210.0,25,22.90291208791209,324.84,25.740000000000002,327.24,185.28,27.017741935483873,26.60225806451613,22.15964285714286,17.23,23.844,20.52225806451613,0.8303225806451614,3.198709677419355,8.145714285714286,5.976774193548387,5.554,5.103870967741935,58.222903225806455,58.1283870967742,67.93357142857143,76.46903225806452,69.75866666666667,73.02451612903225,23.9741935483871,26.25774193548387,24.619285714285716,21.173548387096773,19.541,17.44709677419355,31.671935483870968,33.93806451612903,30.789285714285715,27.31677419354839,26.223333333333336,24.101290322580645,16.64483870967742,18.942903225806454,18.74535714285714,15.708709677419353,12.968333333333334,11.240322580645161,2.8077419354838713,2.346774193548387,2.2671428571428573,2.5206451612903225,2.8553333333333333,2.6129032258064515,,,,,4445.0,3780.0,3957.0,2500.0,4200.0,3776.4,756.3546125991431,-0.23322393631449895,False,train,0.7857126727684437,0.9660476628332063,0.6021947675000521,0.7491681150528136,0.6374031305023803,0.002880043010728551,0.8566977209898468,-1.2538123470001585,0.7432699491579915,0.6485470583621068,0.6003622238295253,0.5326548771293029,-0.26451960421749976,-1.0495247825000638,-0.300954781544993,0.29385947169835774,-1.2538123470001592,-0.489592946996637,1.2957352271650682,0.6485470583621069,0.9879411478222285,0.4859200362676414,-0.36732677064170227,-0.35090126477796474,0.2264480628640538,0.865929879067197,0.6572110484735385,0.45263478565858445,0.4164411134078582,1.1297919372125986,1.3176091858617993,0.09309896179490787,-0.5328581288454967,0.34915044019961616,0.5020159568261676,1.0519514584017675,0.38131473879034994,-0.3046891726402908,-0.6869514644771288,-0.06971242621507251,0.5119244541990108,1.154146078538644,1.8993678038486215,0.6386925556124561,-0.15231112547979456,0.7506644576166281,1.3416869702412517,-0.23389713362631587,-0.13313520994775838,1.3303324315609943,0.9181749126621978,-0.6293358285044411
maiz,1987,BUENOS AIRES,Arrecifes,15000,15000.0,67000.0,4467.0,-34.07,-60.1,1987/88,1.038,0.54,nino,21.669617486338797,35.292,906.39,2135.54,13,22.60606557377049,280.74,125.13000000000001,135.39,365.13,25.009354838709676,25.358709677419355,24.42310344827586,17.573548387096775,23.460333333333335,19.956129032258065,4.036451612903226,2.5416129032258064,1.9517241379310346,11.778387096774193,5.7316666666666665,3.5093548387096773,63.73516129032258,61.28354838709677,62.13413793103449,77.55064516129033,71.885,71.99709677419354,21.919999999999998,24.663870967741936,23.972758620689657,22.364838709677418,20.133333333333333,17.061935483870965,28.70741935483871,31.67258064516129,31.520689655172415,28.04806451612903,26.473000000000003,24.06967741935484,15.05483870967742,17.51838709677419,17.146896551724137,17.270967741935483,13.572333333333335,10.519677419354839,2.556451612903226,2.3148387096774194,2.386206896551724,2.489032258064516,2.685,2.485483870967742,,,,,3600.0,4445.0,3780.0,3957.0,2500.0,3656.4,719.0217660126847,1.1273650372159938,False,train,-0.04218529630583247,-0.5732912601468435,0.8264495423737155,0.04005007823151455,-0.532047241163144,-0.33698317272708367,0.37344752779705387,0.12014868797720757,-1.1829548536402368,2.779474126479958,-0.7547273639417528,-0.4358835821873174,0.9085456514635519,-0.801198740899635,-0.568754513712204,-0.03676983546762994,0.12014868797720765,-0.8639665159327659,-0.9087498660692469,2.779474126479958,1.0965551927336017,-0.3228382233039582,0.37482984708623845,0.15163979253735002,-0.6139082788322903,1.020186441836995,0.9808182878351359,0.2770187179813788,-0.9860171770700535,-0.31490318746841867,0.6015431143159178,1.0306826320939941,-0.10716598520857244,-0.07041130898814324,-0.9688805878228013,-0.4145769971580277,0.8791212776456433,0.10193957013062707,-0.5530826371439265,-0.09385312504573376,-0.7136258744432153,-0.2577798284595522,0.1847780320194837,1.844054989474339,0.3506959725285489,0.06250680686495569,0.171385446719172,-0.40409284289790764,0.4418257921127274,1.1722273710287037,-0.010163754380806475,-1.4395669008786816
maiz,1988,BUENOS AIRES,Arrecifes,16000,15600.0,44000.0,2821.0,-34.07,-60.1,1988/89,-1.65,-1.85,nina,22.73038461538462,39.48449999999999,636.18,2316.93,36,23.747087912087913,154.04,98.8,218.54,164.8,26.26451612903226,27.961935483870967,22.145,18.723225806451612,25.708000000000002,21.588064516129034,3.1870967741935483,3.250967741935484,4.2057142857142855,5.316129032258065,2.333,2.7112903225806453,52.88354838709678,49.78387096774193,58.56107142857143,69.09774193548388,53.726,60.87612903225807,24.90741935483871,27.379032258064516,25.103571428571428,20.793548387096774,22.029666666666667,16.376129032258067,33.10612903225806,35.20709677419355,32.975,27.54516129032258,30.809,24.425161290322578,16.98548387096774,19.61935483870968,18.106428571428573,14.51483870967742,13.799666666666667,9.03225806451613,2.2319354838709677,2.382903225806452,2.2639285714285715,1.9919354838709677,2.890333333333333,2.9761290322580645,,,,,4467.0,3600.0,4445.0,3780.0,3957.0,4049.8,391.77889172337996,-3.136463004922707,True,train,1.8135487693023036,2.286114337812336,-0.5733167481925272,1.7675134236386496,1.709399304529111,0.9693873004133107,-1.0149379478838285,-0.24383555642317542,-0.34810683512226614,0.4058926999798239,0.09214921588767945,1.5916405077439741,-0.27210843833525755,0.029819110991375877,1.000119156143143,0.9163091759014479,-0.2438355564231756,-0.4598194967425119,-0.10653876102519258,0.4058926999798241,-0.9811723905991628,-0.7276263953007491,-1.0862041311656299,-1.6799813251636715,-1.1316569685832552,-0.18534262789749548,-1.782804784543252,-1.6238804761070467,1.0535817909129739,2.1461368579556095,1.8539835657899881,-0.20597321898286647,1.2556717216853313,-0.8174701689321615,1.213616178535558,1.8734412696180929,1.8689507804815002,-0.17769616431130755,1.7718381985707579,0.1776065699684367,0.7744891016013618,1.8246190466036813,1.2140206644960496,-0.2824402892611388,0.5400176286221957,-1.3578579772066464,-1.3399410393696753,-0.04135249283420858,-0.1486570160646174,-1.3138940399943457,1.108929433287471,1.6803355322383298
maiz,1989,BUENOS AIRES,Arrecifes,8000,8000.0,40000.0,5000.0,-34.07,-60.1,1989/90,-0.015999999999999997,-0.22,neutral,21.774780219780222,36.3175,935.91,2143.01,15,22.26087912087912,160.08,233.12,288.11,254.60000000000002,25.425483870967742,26.122903225806454,18.392857142857142,16.288064516129033,25.477666666666668,21.587741935483873,7.5200000000000005,5.449032258064515,4.256785714285714,8.212903225806452,2.8016666666666667,2.4525806451612904,68.16548387096775,59.472258064516126,81.61714285714287,79.34483870967742,59.612,62.72129032258064,24.769354838709678,25.74516129032258,22.44964285714286,19.557741935483868,20.83566666666667,17.326129032258066,31.051290322580645,33.182903225806456,27.274285714285718,25.113548387096774,28.751666666666665,25.373225806451615,18.478387096774195,18.427419354838708,18.106428571428573,14.131612903225806,13.121666666666666,10.234516129032258,2.4125806451612903,2.4754838709677416,2.5385714285714287,2.361290322580645,2.5949999999999998,2.8419354838709676,,,,,2821.0,4467.0,3600.0,4445.0,3780.0,3822.6,681.3958467733714,1.7279236519790484,False,train,0.14178917041361105,0.1261292385310692,0.9793717173395401,0.11119044534211463,-0.3371388458855566,-0.7321913773712803,-0.9487513001086703,1.6129955756641554,0.3503943873467084,1.469875189370889,-0.473958721438548,0.1593090533823531,-2.216700907631528,-1.7303811594702527,0.8393462500375449,0.9161207831338322,1.612995575664156,0.7925032812303802,-0.08836207680554005,1.4698751893708892,-0.694659544172538,-0.8588471365866935,0.9713173814890685,-0.1368550481563929,2.209241042891957,1.2760692340009085,-0.8870128684675213,-1.3084883545643125,0.959321089228844,0.6651854702791574,-1.085395502975787,-1.1785925097805392,0.39757984858039963,0.21737853404768326,0.19407200123262927,0.5631086398818389,-2.01105681714499,-1.5297770919721787,0.6687161661267961,0.9015812012267479,1.9251985601033366,0.64321818012761,1.2140206644960496,-0.5781187058268877,-0.024616166824255797,-0.20979908537518682,-0.4986459775309536,0.4520431491955564,1.17759508436473,0.5333538611227167,-0.5006753788458009,0.827028883864446
maiz,1990,BUENOS AIRES,Arrecifes,8500,8500.0,44200.0,5200.0,-34.07,-60.1,1990/91,0.366,0.26,neutral,22.076923076923077,35.477999999999994,814.5,2198.0,13,23.319725274725272,383.21,120.2,192.76,118.33,25.71451612903226,24.92548387096774,23.202142857142857,18.84193548387097,26.992,20.34935483870968,3.8774193548387097,3.6351612903225807,2.8596428571428567,3.817096774193548,6.611,5.9638709677419355,64.3958064516129,60.83129032258064,55.63107142857143,62.888387096774196,68.26166666666667,76.34548387096774,21.96483870967742,24.38774193548387,23.976785714285715,23.15838709677419,20.741333333333333,18.373225806451615,29.087419354838712,31.772903225806452,32.403214285714284,30.77516129032258,27.785666666666668,25.075161290322583,14.631612903225806,17.06,16.282857142857143,16.710645161290323,13.539,12.033225806451615,3.02,2.6270967741935483,2.350714285714286,2.2209677419354836,2.6806666666666668,2.709354838709677,,,,,5000.0,2821.0,4467.0,3600.0,4445.0,4066.6,857.9011015262772,1.3211313028781377,False,train,0.6703658743170625,-0.44643390982593995,0.3504326501782675,0.6348864008189218,-0.532047241163144,0.4800945740349357,1.4963193485785848,0.05199668171462155,-0.6069448617896538,-0.1447004657440381,-0.2789442224595786,-0.7733017795575468,0.27576836626372964,0.11562566808899033,1.8963524909025662,0.19288094825621052,0.05199668171462146,-0.24092950135570307,-0.5856151444089029,-0.144700465744038,1.6341233925013374,0.9221226500685489,0.4637774567015717,0.07960599616110282,-1.5562232787609684,-1.0709031935866742,0.42938221762655104,1.0202854659527225,-0.9554044725511407,-0.5651883578240058,0.6060033529039673,1.655230649677463,0.3297853203590987,1.3579961536988132,-0.780336939335696,-0.34963461503085963,1.479783247352817,1.6183221865335204,0.15075640429552764,0.6739688979662259,-1.0398425575794707,-0.7121155879351918,-0.7420343905817882,1.4117373046471484,0.322936198907778,1.5078226964472523,2.3302086679017484,1.2600429810909977,0.2704317490905608,-0.1684390096073477,-0.033780980743935575,-0.01602167498571408
